3442 EAST TREMONT AVENUE 10465
2233 BOSTON ROAD 10467
3104 CRESCENT ST 11106
3915 18TH AVE 11218
3815 DYRE AVE 10466
267 WEST   17 STREET 10011
8013 MYRTLE AVENUE 11385
158 9 AVENUE 10011
372 LIVINGSTON STREET 11217
722 AMSTERDAM AVENUE 10025
13931 JAMAICA AVE 11435
77 IRVING PLACE 10003
1614 3 AVENUE 10128
80 WEST   36 STREET 10018
444 LENOX AVENUE 10037
676 AMSTERDAM AVE 10025
253271 SHERMAN AVENUE 10034
524 NOSTRAND AVE 11216
405 LEXINGTON AVENUE 10174
383 TROUTMAN ST 11237
390 NEPTUNE AVENUE 11235
2715 AVENUE U 11229
1775 SOUTH AVENUE 10314
750 11 AVENUE 10019
237 WEST  105 STREET 10025
9019 CORONA AVE 11373
3766 74 STREET 11372
1349 EDWARD L GRANT HIGHWAY 10452
108 GREENWICH AVENUE 10011
8253 BROADWAY 11373
182 AVENUE B 10009
42 BROADWAY 10004
541B MYRTLE AVE 11205
251 E 52ND ST 10022
1621 SECOND AVENUE 10028
719 2ND AVE 10016
204 E 58TH ST 10022
8925 AVENUE D 11236
4025 CRESCENT ST 11101
1027 FLATBUSH AVE 11226
2409 STEINWAY STREET 11103
3771 BROADWAY 10032
12909 26TH AVE 11354
146 WILSON AVE 11237
270 W 45 ST 10036
873 BROADWAY 10003
557 LORIMER ST 11211
739 GRAND ST 11211
139 WEST   33 STREET 10001
1 EAST  161 STREET 10451
7310 NORTHERN BOULEVARD 11372
311 WEST   51 STREET 10019
155 S 4TH ST 11211
2024 MCDONALD AVENUE 11223
647 9 AVENUE 10036
2923 AVENUE R 11229
1252 YORK AVENUE 10065
318 KINGS HWY 11223
4257 MAIN ST 11355
607 9TH AVE 10036
934 MORRIS AVE 10456
273 13TH ST 11215
425 E 9TH ST 10009
11614 QUEENS BOULEVARD 11375
3515 DITMARS BLVD 11105
2335 86 STREET 11214
343 FRANKLIN AVENUE 11238
145 AVENUE C 10009
4905 103 STREET 11368
2194 FRDRCK DGLS BLVD 10026
359 6 AVENUE 10014
13 CHRISTOPHER ST 10014
901 SHERIDAN AVE 10451
10740 QUEENS BOULEVARD 11375
25 WEST 40TH STREET 10018
77 BRIDGE STREET 11201
8838 SUTPHIN BLVD 11435
606 5 AVENUE 11215
626 10 AVENUE 10036
976 MADISON AVE 10075
50 WEST   72 STREET 10023
2839 FREDERICK DOUGLAS BOULEVARD 10039
30 BROAD 10004
1969 86 STREET 11214
209 EAST  116 STREET 10029
546 3 AVENUE 10016
1710 EASTERN PARKWAY 11233
4616 5TH AVE 11220
10826 GUY R BREWER BOULEVARD 11433
NKN HIGH LINE PK W 15TH ST 10011
102 BERRY STREET 11249
401 WEST   52 STREET 10019
507 PENNSYLVANIA AVENUE 11207
388 GREENWICH STREET 10013
41 EXCHANGE PLACE 10005
533 HUDSON STREET 10014
435 7 AVENUE 11215
3452 BOSTON RD 10469
24 HARRISON STREET 10013
729 BROADWAY 10003
13558 LEFFERTS BOULEVARD 11420
108 JAY STREET 11201
