Year,Athlete,Country_State,Time,Notes,Line
1897,John J. McDermott,United States (NY),02:55:10,,158.8212
1898,Ronald J. MacDonald,Canada,02:42:00,,158.5308
1899,Lawrence Brignolia,United States (MA),02:54:38,,158.2404
1900,"John ""Jack"" Caffery",Canada,02:39:44,,157.95
1901,"John ""Jack"" Caffery",Canada,02:29:23,2nd victory,157.6596
1902,Sammy Mellor,United States (NY),02:43:12,,157.3692
1903,John Lorden,United States (MA),02:41:29,,157.0788
1904,Michael Spring,United States (NY),02:38:04,,156.7884
1905,Frederick Lorz,United States (NY),02:38:25,,156.498
1906,Tim Ford,United States (MA),02:45:45,,156.2076
1907,Thomas Longboat,Canada,02:24:24,,155.9172
1908,Thomas Morrissey,United States (NY),02:25:43,,155.6268
1909,Henri Renaud,United States (NH),02:53:36,,155.3364
1910,Fred Cameron,Canada,02:28:52,,155.046
1911,Clarence DeMar,United States (MA),02:21:39,,154.7556
1912,Michael J. Ryan,United States (NY),02:21:18,,154.4652
1913,Fritz Carlson,United States (MN),02:25:14,,154.1748
1914,James Duffy,Canada,02:25:14,,153.8844
1915,Édouard Fabre,Canada,02:31:41,,153.594
1916,Arthur Roth,United States (MA),02:27:16,,153.3036
1917,Bill Kennedy,United States (NY),02:28:37,,153.0132
1918,Camp Devens relay team[3],United States (MA),02:29:53,1918 race was relay for 10-man military teams,152.7228
1919,Carl Linder,United States (MA),02:29:13,,152.4324
1920,Peter Trivoulides,Greece,02:29:31,Represented Greece at Olympic Games later that year,152.142
1921,Frank Zuna,United States (NY),02:18:57,,151.8516
1922,Clarence DeMar,United States (MA),02:18:10,2nd victory,151.5612
1923,Clarence DeMar,United States (MA),02:23:47,3rd victory,151.2708
1924,Clarence DeMar,United States (MA),02:29:40,4th victory,150.9804
1925,Charles Mellor,United States (IL),02:33:00,,150.69
1926,Johnny Miles,Canada,02:25:40,,150.3996
1927,Clarence DeMar,United States (MA),02:40:22,5th victory,150.1092
1928,Clarence DeMar,United States (MA),02:37:07,6th victory,149.8188
1929,Johnny Miles,Canada,02:33:08,2nd victory,149.5284
1930,Clarence DeMar,United States (MA),02:34:48,7th victory,149.238
1931,James Henigan,United States (MA),02:46:45,,148.9476
1932,Paul de Bruyn,Germany,02:33:36,,148.6572
1933,Leslie S. Pawson,United States (RI),02:31:01,,148.3668
1934,Dave Komonen,Canada,02:32:53,,148.0764
1935,John A. Kelley,United States (MA),02:32:07,,147.786
1936,Ellison Brown,United States (RI),02:33:40,,147.4956
1937,Walter Young,Canada,02:33:20,,147.2052
1938,Leslie S. Pawson,United States (RI),02:35:34,2nd victory,146.9148
1939,Ellison Brown,United States (RI),02:28:51,2nd victory,146.6244
1940,Gérard Côté,Canada,02:28:28,,146.334
1941,Leslie S. Pawson,United States (RI),02:30:38,3rd victory,146.0436
1942,Joe Smith,United States (MA),02:26:51,,145.7532
1943,Gérard Côté,Canada,02:28:25,2nd victory,145.4628
1944,Gérard Côté,Canada,02:31:50,3rd victory,145.1724
1945,John A. Kelley,United States (MA),02:30:40,2nd victory,144.882
1946,Stylianos Kyriakides,Greece,02:29:27,,144.5916
1947,Suh Yun-bok,South Korea,02:25:39,,144.3012
1948,Gérard Côté,Canada,02:31:02,4th victory,144.0108
