Date,PETIT LARCENY, HARRASSMENT, ASSAULT & RELATED OFFENSES, CRIMINAL MISCHIEF & RELATED OF, GRAND LARCENY
2016-01,6010,4937,3712,3706,3159
2016-02,5333,4526,3617,3333,2991
2016-03,6189,5314,4274,4002,3357
2016-04,6399,5104,4175,4393,3336
2016-05,6713,5607,4781,4175,3540
2016-06,6832,5735,4609,4202,3545
2016-07,6898,5533,4656,4172,3673
2016-08,7331,5661,4451,4120,3701
2016-09,6643,5380,4208,3669,3412
2016-10,6687,5547,4298,3786,3667
2016-11,6100,4928,3886,3421,3306
2016-12,5974,4466,3837,3087,2928
