CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
153401121,12/31/2015,23:36:00,,,12/31/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103.0,OUTSIDE,,,,1043991.0,193406.0,40.697338138,-73.784556739,"(40.697338138, -73.784556739)"
940141475,12/17/2004,15:02:00,,,12/31/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70.0,OUTSIDE,,,,996108.0,176259.0,40.650467172,-73.957267875,"(40.650467172, -73.957267875)"
586976434,12/30/2015,02:45:00,,,12/30/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52.0,OUTSIDE,,,,1019388.0,259017.0,40.877554428,-73.87293947100001,"(40.877554428, -73.872939471)"
388875685,07/21/1992,23:00:00,,,12/30/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46.0,INSIDE,,,,1005725.0,249742.0,40.852141187,-73.922375722,"(40.852141187, -73.922375722)"
432741267,10/01/1969,23:59:00,,,12/29/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32.0,OUTSIDE,,,,1000565.0,234704.0,40.810877241,-73.941064151,"(40.810877241, -73.941064151)"
815051324,12/28/2015,17:30:00,,,12/28/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,61.0,INSIDE,,,SHEEPSHEAD BAY,1001474.0,156113.0,40.595161807,-73.937981421,"(40.595161807, -73.937981421)"
436431388,12/28/2015,17:30:00,,,12/28/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,61.0,INSIDE,,,SHEEPSHEAD BAY,1001474.0,156113.0,40.595161807,-73.937981421,"(40.595161807, -73.937981421)"
594991710,09/20/1979,03:34:00,,,12/28/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70.0,INSIDE,,,,994970.0,162504.0,40.612714054,-73.961390818,"(40.612714054, -73.961390818)"
950464116,12/26/2015,16:30:00,,,12/26/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103.0,OUTSIDE,,,,1041975.0,193412.0,40.697367985999996,-73.791826985,"(40.697367986, -73.791826985)"
822354166,12/19/2015,16:04:00,,,12/19/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77.0,OUTSIDE,,,,1002388.0,185584.0,40.676051596,-73.934611088,"(40.676051596, -73.934611088)"
